study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_KO,48h,Icam1,Itgb2,Oligodendrocyte,Oligodendrocyte,2.0823364,0.0022868959,0.7214531,0.1740728,0.74042016,Adhesion,True
GSE197731_KO,24h,Il1b,Il1r1,NK,Pericyte,4.436348,1.7340918e-18,0.0032662312,0.04203962,0.93084186,Cytokine,True
GSE197731_KO,48h,Il1b,Il1r1,Microglia,Endothelial,1.6634196,0.0,0.65473235,0.10930786,0.34841835,Cytokine,True
GSE197731_KO,24h,Il34,Csf1r,Pericyte,Pericyte,-1.5250481,0.1274409,0.027966307,1.3524369,0.46927598,Cytokine,True
GSE197731_KO,24h,Jaml,Jam3,Tcell,Oligodendrocyte,-1.6992329,0.00060388824,0.60526776,0.28332624,0.08655819,Adhesion,True
GSE197731_KO,48h,Jaml,Jam3,Tcell,Oligodendrocyte,-2.7055738,0.003479314,0.015231179,0.28332624,0.04258711,Adhesion,True
GSE197731_KO,24h,Lama2,Itga7,Pericyte,Pericyte,-1.8063701,0.0134380795,0.7774484,0.18108997,0.051061235,ECM,True
GSE197731_KO,24h,Lamb2,Itgb1,Pericyte,Macrophage,-0.8602112,0.17599465,1.4454915e-07,0.47036612,0.25866237,ECM,True
GSE197731_KO,48h,Lamb2,Itgb1,Endothelial,Tcell,-1.0171121,0.79837376,0.020309895,0.5458325,0.26919237,ECM,True
GSE197731_KO,24h,Mif,Cd74,Pericyte,Pericyte,1.9405451,0.014453542,0.119011275,0.30143085,1.1598827,CD74,True
GSE197731_KO,48h,Mif,Cd74,Tcell,Macrophage,-1.0876687,0.48314163,5.3810556e-09,1.5043681,0.70730746,CD74,True
GSE197731_KO,24h,Ncam1,Ncam1,Oligodendrocyte,Oligodendrocyte,-0.22303943,0.56271476,0.56271476,0.11332822,0.09695168,Adhesion,False
GSE197731_KO,48h,Ncam1,Ncam1,Oligodendrocyte,Oligodendrocyte,-0.19404659,0.30111274,0.30111274,0.11332822,0.09894006,Adhesion,False
GSE197731_KO,24h,Osm,Osmr,Oligodendrocyte,Endothelial,1.6477538,0.020335091,0.54442644,0.14270836,0.44930357,Cytokine,True
